0	1	2	3	4	5	6
0	coefficient_product	0.08036230607012315	0.048705787075276896	0.048705787075276896	0.031656518994846256	0.031656518994846256
1	coefficient_product	0.10427173166377347	0.06986864037412349	0.06986864037412349	0.03440309128964998	0.03440309128964998
2	coefficient_product	0.07134855559353667	0.033130955691647146	0.033130955691647146	0.03821759990188953	0.03821759990188953
3	coefficient_product	0.1031453888548068	0.06318562709489509	0.06318562709489509	0.03995976175991171	0.03995976175991171
4	coefficient_product	0.022066264525631693	-0.023433443862094762	-0.023433443862094762	0.045499708387726455	0.045499708387726455
5	coefficient_product	0.06001820380750883	0.021316779586823053	0.021316779586823053	0.03870142422068578	0.03870142422068578
6	coefficient_product	0.11266599045910003	0.06996126570904529	0.06996126570904529	0.04270472475005475	0.04270472475005475
7	coefficient_product	-0.008702328488770835	-0.039867958791180706	-0.039867958791180706	0.03116563030240987	0.03116563030240987
8	coefficient_product	0.06643538360277558	0.020764285361534535	0.020764285361534535	0.04567109824124105	0.04567109824124105
9	coefficient_product	0.10968562080158076	0.0718504855391627	0.0718504855391627	0.03783513526241806	0.03783513526241806
10	coefficient_product	0.042937020152127074	0.003562805930040761	0.003562805930040761	0.03937421422208631	0.03937421422208631
11	coefficient_product	-0.005371596602944111	-0.05110488701183291	-0.05110488701183291	0.0457332904088888	0.0457332904088888
12	coefficient_product	0.020137336286157704	-0.016273297363882392	-0.016273297363882392	0.036410633650040096	0.036410633650040096
13	coefficient_product	0.028043552577517256	-0.009461499707142511	-0.009461499707142511	0.037505052284659765	0.037505052284659765
14	coefficient_product	0.04909446505070072	0.01707454044646438	0.01707454044646438	0.03201992460423634	0.03201992460423634
15	coefficient_product	0.03289057621611098	-0.002691391265714526	-0.002691391265714526	0.03558196748182551	0.03558196748182551
16	coefficient_product	0.08294129845311826	0.048188198585406176	0.048188198585406176	0.03475309986771209	0.03475309986771209
17	coefficient_product	0.024686598301900523	-0.007213592564778112	-0.007213592564778112	0.031900190866678634	0.031900190866678634
18	coefficient_product	0.04563805650437424	0.006622990098002746	0.006622990098002746	0.03901506640637149	0.03901506640637149
19	coefficient_product	0.06262718483995477	0.023994703548274078	0.023994703548274078	0.038632481291680704	0.038632481291680704
20	coefficient_product	0.07681786760812692	0.04435416655284787	0.04435416655284787	0.03246370105527904	0.03246370105527904
21	coefficient_product	0.13096169439228791	0.0870905341585894	0.0870905341585894	0.043871160233698504	0.043871160233698504
22	coefficient_product	0.025285043479322502	-0.019814991323068656	-0.019814991323068656	0.04510003480239116	0.04510003480239116
23	coefficient_product	0.03314284248548913	-0.010559762485265668	-0.010559762485265668	0.043702604970754795	0.043702604970754795
24	coefficient_product	-0.017588721049533372	-0.05767794828990473	-0.05767794828990473	0.04008922724037136	0.04008922724037136
25	coefficient_product	0.07530505531365936	0.03260542429241868	0.03260542429241868	0.04269963102124067	0.04269963102124067
26	coefficient_product	0.06595324214581175	0.03527936240067638	0.03527936240067638	0.030673879745135357	0.030673879745135357
27	coefficient_product	0.12282624562363381	0.09038525389051093	0.09038525389051093	0.03244099173312288	0.03244099173312288
28	coefficient_product	0.026085225351874245	-0.012053598397182664	-0.012053598397182664	0.03813882374905691	0.03813882374905691
29	coefficient_product	0.07148729764177443	0.03862076007927009	0.03862076007927009	0.03286653756250434	0.03286653756250434
30	coefficient_product	0.09052584295468774	0.0493303168207858	0.0493303168207858	0.04119552613390195	0.04119552613390195
31	coefficient_product	0.12512276663362729	0.08693359752317731	0.08693359752317731	0.03818916911044997	0.03818916911044997
32	coefficient_product	0.024570877622121384	-0.01450659396122959	-0.01450659396122959	0.039077471583350974	0.039077471583350974
33	coefficient_product	0.03510579347463365	0.004144005819664804	0.004144005819664804	0.03096178765496884	0.03096178765496884
34	coefficient_product	0.08724338300972008	0.04698636237368622	0.04698636237368622	0.04025702063603386	0.04025702063603386
35	coefficient_product	0.05224301149220422	0.00987714065983067	0.00987714065983067	0.04236587083237355	0.04236587083237355
36	coefficient_product	0.026733908730359725	-0.011892723440517486	-0.011892723440517486	0.03862663217087721	0.03862663217087721
37	coefficient_product	0.0389756348421512	0.006471725382578278	0.006471725382578278	0.03250390945957292	0.03250390945957292
38	coefficient_product	0.04403339484405197	0.004016485622252823	0.004016485622252823	0.040016909221799145	0.040016909221799145
39	coefficient_product	0.04451054487989871	0.006998105419519503	0.006998105419519503	0.03751243946037921	0.03751243946037921
40	coefficient_product	0.04350785275075761	0.006777933560351012	0.006777933560351012	0.03672991919040659	0.03672991919040659
