0	1	2	3	4	5	6
0	coefficient_product	-0.3770691611973961	-0.372772949482861	-0.372772949482861	-0.00429621171453512	-0.00429621171453512
1	coefficient_product	-0.38655281055583	-0.3831544307010445	-0.3831544307010445	-0.003398379854785554	-0.003398379854785554
2	coefficient_product	-0.3726336047117238	-0.36654262326823867	-0.36654262326823867	-0.006090981443485119	-0.006090981443485119
3	coefficient_product	-0.37561879494012923	-0.3744059396735335	-0.3744059396735335	-0.001212855266595681	-0.001212855266595681
4	coefficient_product	-0.3555994478758376	-0.35329543545250464	-0.35329543545250464	-0.0023040124233329263	-0.0023040124233329263
5	coefficient_product	-0.3488687424011274	-0.3485106134888317	-0.3485106134888317	-0.0003581289122957237	-0.0003581289122957237
6	coefficient_product	-0.38907555993932247	-0.3841530604111904	-0.3841530604111904	-0.00492249952813205	-0.00492249952813205
7	coefficient_product	-0.40696363813822983	-0.4015815547061986	-0.4015815547061986	-0.005382083432031216	-0.005382083432031216
8	coefficient_product	-0.388114948196674	-0.3861592784488601	-0.3861592784488601	-0.0019556697478138926	-0.0019556697478138926
9	coefficient_product	-0.37685338850060407	-0.3744284406381964	-0.3744284406381964	-0.002424947862407664	-0.002424947862407664
10	coefficient_product	-0.407139749310619	-0.40427923810087063	-0.40427923810087063	-0.0028605112097483823	-0.0028605112097483823
11	coefficient_product	-0.38429343960451	-0.3786788712357706	-0.3786788712357706	-0.005614568368739431	-0.005614568368739431
12	coefficient_product	-0.39741623216261146	-0.39345883783702823	-0.39345883783702823	-0.003957394325583223	-0.003957394325583223
13	coefficient_product	-0.37861243423211255	-0.37661073913014986	-0.37661073913014986	-0.0020016951019627065	-0.0020016951019627065
14	coefficient_product	-0.3786354207834079	-0.37308186103389	-0.37308186103389	-0.005553559749517866	-0.005553559749517866
15	coefficient_product	-0.38160509244635504	-0.38116085796459304	-0.38116085796459304	-0.0004442344817620286	-0.0004442344817620286
16	coefficient_product	-0.3832717985161895	-0.3762516339140064	-0.3762516339140064	-0.007020164602183103	-0.007020164602183103
17	coefficient_product	-0.3968964294804589	-0.39147115425084844	-0.39147115425084844	-0.005425275229610434	-0.005425275229610434
18	coefficient_product	-0.3870741734178603	-0.3819044084933409	-0.3819044084933409	-0.005169764924519447	-0.005169764924519447
19	coefficient_product	-0.3930211340267436	-0.38848942755620336	-0.38848942755620336	-0.004531706470540264	-0.004531706470540264
20	coefficient_product	-0.38171957412396307	-0.3814984497102357	-0.3814984497102357	-0.0002211244137273214	-0.0002211244137273214
21	coefficient_product	-0.37527693173813986	-0.36995941834357166	-0.36995941834357166	-0.005317513394568232	-0.005317513394568232
22	coefficient_product	-0.3857339036373013	-0.3826759675981449	-0.3826759675981449	-0.003057936039156427	-0.003057936039156427
23	coefficient_product	-0.39117718171396265	-0.3887523504788494	-0.3887523504788494	-0.0024248312351132797	-0.0024248312351132797
24	coefficient_product	-0.37429284512629907	-0.3702540847559736	-0.3702540847559736	-0.004038760370325494	-0.004038760370325494
25	coefficient_product	-0.38437281558313735	-0.3798913640572694	-0.3798913640572694	-0.004481451525867946	-0.004481451525867946
26	coefficient_product	-0.38364294453501746	-0.380069836408952	-0.380069836408952	-0.003573108126065472	-0.003573108126065472
27	coefficient_product	-0.37171696778289687	-0.3680992607960695	-0.3680992607960695	-0.0036177069868273525	-0.0036177069868273525
