0	1	2	3	4	5	6
0	coefficient_product	-0.006232709384148341	-0.021171698892119166	-0.021171698892119166	0.014938989507970825	0.014938989507970825
1	coefficient_product	0.00897774784832158	-0.005732233570464334	-0.005732233570464334	0.014709981418785914	0.014709981418785914
2	coefficient_product	-0.045181391872648566	-0.06016351324040848	-0.06016351324040848	0.014982121367759917	0.014982121367759917
3	coefficient_product	-0.01376303114268013	-0.027156878511752133	-0.027156878511752133	0.013393847369072003	0.013393847369072003
4	coefficient_product	-0.01575910782069874	-0.033321659647093986	-0.033321659647093986	0.017562551826395247	0.017562551826395247
5	coefficient_product	-0.023804032921375215	-0.038430905675640566	-0.038430905675640566	0.014626872754265349	0.014626872754265349
6	coefficient_product	-0.009266707489556793	-0.023322242429934758	-0.023322242429934758	0.014055534940377964	0.014055534940377964
7	coefficient_product	-0.03146424177552723	-0.0451278054717131	-0.0451278054717131	0.013663563696185866	0.013663563696185866
8	coefficient_product	-0.025675790639100072	-0.040252869341854625	-0.040252869341854625	0.014577078702754553	0.014577078702754553
9	coefficient_product	-0.0370083728398084	-0.050638725674372	-0.050638725674372	0.013630352834563599	0.013630352834563599
10	coefficient_product	-0.027262244830730583	-0.041112386796130475	-0.041112386796130475	0.013850141965399892	0.013850141965399892
11	coefficient_product	-0.033067487310361715	-0.04762036233503721	-0.04762036233503721	0.014552875024675496	0.014552875024675496
12	coefficient_product	-0.03510864377295097	-0.04682958913095564	-0.04682958913095564	0.011720945358004671	0.011720945358004671
13	coefficient_product	-0.02138757594667773	-0.03563228536732924	-0.03563228536732924	0.014244709420651511	0.014244709420651511
14	coefficient_product	-0.03348821590019531	-0.044290772622521145	-0.044290772622521145	0.010802556722325838	0.010802556722325838
15	coefficient_product	-0.02246759258812675	-0.03649635479571782	-0.03649635479571782	0.014028762207591068	0.014028762207591068
16	coefficient_product	0.0023319397249987623	-0.012748036595293461	-0.012748036595293461	0.015079976320292223	0.015079976320292223
17	coefficient_product	-0.03133900622709332	-0.04434646031757101	-0.04434646031757101	0.013007454090477688	0.013007454090477688
18	coefficient_product	-0.0073732518817955905	-0.022527131430098785	-0.022527131430098785	0.015153879548303195	0.015153879548303195
19	coefficient_product	-0.0058730036046355655	-0.01979953090284398	-0.01979953090284398	0.013926527298208414	0.013926527298208414
20	coefficient_product	-0.02733783268461776	-0.04351757167280751	-0.04351757167280751	0.016179738988189748	0.016179738988189748
21	coefficient_product	-0.0030202290510042487	-0.017820059105521993	-0.017820059105521993	0.014799830054517744	0.014799830054517744
22	coefficient_product	-0.05710109210669209	-0.06898945552056594	-0.06898945552056594	0.01188836341387385	0.01188836341387385
23	coefficient_product	-0.005663649662494094	-0.02073012859012407	-0.02073012859012407	0.015066478927629978	0.015066478927629978
24	coefficient_product	-0.033585071036321114	-0.048565238551038684	-0.048565238551038684	0.01498016751471757	0.01498016751471757
