0	1	2	3	4	5	6
0	coefficient_product	-0.006232709384147737	-0.021991813508278595	-0.021991813508278595	0.015759104124130858	0.015759104124130858
1	coefficient_product	0.008977747848321237	-0.00553886947731659	-0.00553886947731659	0.014516617325637828	0.014516617325637828
2	coefficient_product	-0.04518139187264824	-0.06043462292114653	-0.06043462292114653	0.01525323104849829	0.01525323104849829
3	coefficient_product	-0.01376303114268031	-0.027564475334945486	-0.027564475334945486	0.013801444192265176	0.013801444192265176
4	coefficient_product	-0.01575910782069767	-0.03351573502817087	-0.03351573502817087	0.017756627207473202	0.017756627207473202
5	coefficient_product	-0.023804032921374646	-0.038477890066723176	-0.038477890066723176	0.01467385714534853	0.01467385714534853
6	coefficient_product	-0.009266707489557331	-0.02340276076133106	-0.02340276076133106	0.014136053271773728	0.014136053271773728
7	coefficient_product	-0.03146424177552513	-0.044929244997896675	-0.044929244997896675	0.013465003222371546	0.013465003222371546
8	coefficient_product	-0.025675790639099208	-0.04015491566873074	-0.04015491566873074	0.014479125029631527	0.014479125029631527
9	coefficient_product	-0.03700837283980807	-0.051413310782791696	-0.051413310782791696	0.014404937942983625	0.014404937942983625
10	coefficient_product	-0.02726224483072974	-0.040161607973248845	-0.040161607973248845	0.012899363142519106	0.012899363142519106
11	coefficient_product	-0.03306748731036162	-0.04810514908091256	-0.04810514908091256	0.015037661770550942	0.015037661770550942
12	coefficient_product	-0.035108643772950095	-0.04747114832883918	-0.04747114832883918	0.012362504555889088	0.012362504555889088
13	coefficient_product	-0.021387575946677406	-0.03477267783501842	-0.03477267783501842	0.013385101888341012	0.013385101888341012
14	coefficient_product	-0.0334882159001977	-0.045123415250372306	-0.045123415250372306	0.011635199350174602	0.011635199350174602
15	coefficient_product	-0.022467592588127576	-0.036417704371803215	-0.036417704371803215	0.01395011178367564	0.01395011178367564
16	coefficient_product	0.002331939724999248	-0.011834264717538168	-0.011834264717538168	0.014166204442537416	0.014166204442537416
17	coefficient_product	-0.03133900622709422	-0.04461372186023905	-0.04461372186023905	0.013274715633144828	0.013274715633144828
18	coefficient_product	-0.00737325188179567	-0.022095101221396515	-0.022095101221396515	0.014721849339600844	0.014721849339600844
19	coefficient_product	-0.0058730036046363895	-0.020318228113595748	-0.020318228113595748	0.014445224508959359	0.014445224508959359
20	coefficient_product	-0.027337832684618382	-0.04270444544052164	-0.04270444544052164	0.015366612755903257	0.015366612755903257
21	coefficient_product	-0.003020229051004429	-0.016997828811713665	-0.016997828811713665	0.013977599760709235	0.013977599760709235
22	coefficient_product	-0.05710109210669251	-0.0685867162505635	-0.0685867162505635	0.011485624143871002	0.011485624143871002
23	coefficient_product	-0.005663649662493712	-0.021397720426758887	-0.021397720426758887	0.015734070764265175	0.015734070764265175
24	coefficient_product	-0.03358507103632203	-0.048330162528257586	-0.048330162528257586	0.014745091491935557	0.014745091491935557
25	coefficient_product	-0.032821975702123564	-0.048223634758921594	-0.048223634758921594	0.015401659056798031	0.015401659056798031
26	coefficient_product	-0.045763546241204316	-0.06279879434882571	-0.06279879434882571	0.017035248107621394	0.017035248107621394
27	coefficient_product	-0.00489746152693547	-0.01604205552848122	-0.01604205552848122	0.01114459400154575	0.01114459400154575
28	coefficient_product	-0.030599161743089652	-0.04370463727710888	-0.04370463727710888	0.013105475534019232	0.013105475534019232
29	coefficient_product	-0.01015469481743257	-0.021361547121978595	-0.021361547121978595	0.011206852304546025	0.011206852304546025
30	coefficient_product	-0.025281068654008778	-0.039952740503954504	-0.039952740503954504	0.014671671849945726	0.014671671849945726
31	coefficient_product	-0.04037278262936259	-0.056030918643337035	-0.056030918643337035	0.015658136013974443	0.015658136013974443
32	coefficient_product	-0.030702060467488322	-0.04339525398368576	-0.04339525398368576	0.012693193516197437	0.012693193516197437
33	coefficient_product	-0.04423578443347399	-0.0565549348030252	-0.0565549348030252	0.012319150369551213	0.012319150369551213
34	coefficient_product	-0.02214477956240165	-0.03641020344393497	-0.03641020344393497	0.01426542388153332	0.01426542388153332
35	coefficient_product	-0.02281340432866529	-0.03854102396118273	-0.03854102396118273	0.015727619632517443	0.015727619632517443
36	coefficient_product	-0.032177876477988726	-0.0453953581477742	-0.0453953581477742	0.01321748166978547	0.01321748166978547
37	coefficient_product	-0.030160768886997508	-0.0441967060638216	-0.0441967060638216	0.014035937176824095	0.014035937176824095
38	coefficient_product	-0.029111690114306667	-0.045134309356377585	-0.045134309356377585	0.016022619242070917	0.016022619242070917
39	coefficient_product	-0.03892805580266067	-0.05261686982690074	-0.05261686982690074	0.013688814024240067	0.013688814024240067
40	coefficient_product	-0.021831506278550843	-0.034377725389008566	-0.034377725389008566	0.012546219110457725	0.012546219110457725
41	coefficient_product	0.012661345967110688	-0.0009876253110015826	-0.0009876253110015826	0.01364897127811227	0.01364897127811227
42	coefficient_product	-0.03165586161137686	-0.04697330911222836	-0.04697330911222836	0.015317447500851504	0.015317447500851504
43	coefficient_product	-0.015118143078157264	-0.028447252711904503	-0.028447252711904503	0.01332910963374724	0.01332910963374724
44	coefficient_product	-0.013285452343753116	-0.028449248728236367	-0.028449248728236367	0.015163796384483251	0.015163796384483251
45	coefficient_product	-0.025082475007500625	-0.04127624625119114	-0.04127624625119114	0.016193771243690515	0.016193771243690515
46	coefficient_product	-0.038666952517919975	-0.05461409052185769	-0.05461409052185769	0.015947138003937714	0.015947138003937714
47	coefficient_product	-0.029444562806232952	-0.043902841747641176	-0.043902841747641176	0.014458278941408224	0.014458278941408224
